,Job Title,Rating,Size,Type of ownership,Industry,Revenue,Competitors,Salary_min,Salary_max
555,Data Analyst Healthcare - Experienced or Entry Level,3.1, 1000 ,Other,Consulting, 100 M ,-1,37,70 
556,Woocommerce Data Governance Analyst,4.1, 200 , Private,"Health, Beauty, & Fitness",Unknown / Non-Applicable,-1,37,70 
557,"Analyst, Data Operations",3.9, 10000 , Public,Motion Picture Production & Distribution,10 B ,NBCUniversal,37,70 
558,Data Analyst,-1.0,-1,Other,-1,-1,-1,37,70 
559,Data Analyst,3.5, 200 , Private,Construction, 25 M ,-1,37,70 
560,Data Analyst (Apex Legends),3.9, 10000 , Public,Video Games, 5 B ,"Riot Games, Google, Activision Blizzard",37,70 
561,Data Intelligence Analyst II ( Epic Certification Required ),3.9,10000 ,Other,Health Care Services & Hospitals, 5 B ,"UCLA Health, City of Hope, Keck Medicine of USC",37,70 
562,Market Data Analyst,3.9, 10000 , Private,Investment Banking & Asset Management, 2 B ,-1,37,70 
563,"Sr Analyst, Data Operations",3.7,10000 ,Other,TV Broadcast & Cable Networks,10 B ,"Walt Disney Company, NBCUniversal",37,70 
564,Data Analyst (Ryan White),4.7, 5000 ,Other,Health Care Services & Hospitals, 2 B ,"Kaiser Permanente, CVS Health, Walgreens",37,70 
565,Senior Data Analyst,4.0, 50 , Private,Internet,Unknown / Non-Applicable,-1,37,70 
566,"Data System Analyst I, LACERA (Senior Java Developer)",3.5, 500 ,Other,Investment Banking & Asset Management, 5 B ,-1,37,70 
567,Data Analyst,2.9, 500 , Private,Publishing, 100 M ,-1,37,70 
568,Data Analyst,2.8,Unknown, Private,-1,Unknown / Non-Applicable,-1,37,70 
569,Data Analyst,3.1,10000 , Public,Financial Transaction Processing, 5 B ,-1,37,70 
570,Junior Data Analyst,5.0, 200 , Private,IT Services, 100 M ,-1,37,70 
571,Data Analyst,3.2, 200 , Private,Consulting, 25 M ,-1,57,103 
572,Marketing Data Analyst,5.0, 50 , Public,Advertising & Marketing,Unknown / Non-Applicable,-1,57,103 
573,Data and Policy Analyst - Writer/Coordinator,3.2, 500 , Private,Federal Agencies, 25 M ,Acumen,57,103 
574,Sr. Data/Report System Analyst,3.9,10000 ,Other,Health Care Services & Hospitals, 5 B ,"UCLA Health, City of Hope, Keck Medicine of USC",57,103 
575,Equity Data/Research Analyst,-1.0,-1,Other,-1,-1,-1,57,103 
576,Senior Data Analyst,4.5, 200 , Private,Video Games,Unknown / Non-Applicable,-1,57,103 
577,Data Analyst,3.9, 500 , Private,Brokerage Services,Unknown / Non-Applicable,-1,57,103 
578,Data Analyst - (Python),5.0, 50 , Private,-1,Unknown / Non-Applicable,-1,57,103 
579,Data Analyst / Developer,-1.0,-1,Other,-1,-1,-1,57,103 
580,Data Analyst I,3.1, 5000 ,Other,Health Care Services & Hospitals,Unknown / Non-Applicable,"Health Net, Kaiser Permanente, Molina Healthcare",57,103 
581,Senior Data Analyst,3.6, 5000 ,Other,Municipal Governments,Unknown / Non-Applicable,-1,57,103 
582,Senior Data Analyst,3.3, 200 , Private,Enterprise Software & Network Solutions, 50 M ,-1,57,103 
583,Billingual Chinese - Data Analyst,3.7, 50 , Public,Real Estate,Unknown / Non-Applicable,-1,57,103 
584,Senior Data Analyst,4.6, 200 ,Other,Colleges & Universities,Unknown / Non-Applicable,"Chegg, Tutor.com, Smarthinking",57,103 
585,Reporting Data Analyst,4.5, 200 , Private,Staffing & Outsourcing,Unknown / Non-Applicable,-1,57,103 
586,Public Policy Data Analyst,3.9, 5000 , Public,Internet, 10 B ,-1,57,103 
587,Epidemiologist Data Analyst-Urology,3.8,10000 ,Other,Health Care Services & Hospitals, 5 B ,-1,57,103 
588,Data Analyst I,3.0, 1000 , Private,Biotech & Pharmaceuticals, 50 M ,-1,57,103 
589,Data Systems Analyst,3.9, 200 , Private,Consulting, 25 M ,-1,57,103 
590,"Data Analyst, Predictive Analytics",3.4, 5000 , Private,Internet, 2 B ,-1,57,103 
591,Data Reporting Analyst,3.5,10000 , Public,Staffing & Outsourcing, 5 B ,"Adecco, Manpower",57,103 
592,Senior Data Analyst,4.0, 10000 , Public,TV Broadcast & Cable Networks,Unknown / Non-Applicable,-1,57,103 
593,Business Data Analyst,5.0, 50 ,Other,-1,Unknown / Non-Applicable,-1,57,103 
594,Business Data Analyst,4.5, 1000 , Private,Video Games,Unknown / Non-Applicable,"Activision, Riot Games, Electronic Arts",57,103 
595,Epidemiologist Data Analyst-Urology,4.0, 10000 , Public,Health Care Services & Hospitals,Unknown / Non-Applicable,"Cedars-Sinai Medical Center, Loma Linda University Health, Harbor Hospital",57,103 
596,Mid-Senior Data Analyst,3.5,10000 , Public,Staffing & Outsourcing, 5 B ,"Adecco, Manpower",57,103 
597,Associate Player Support Data Analyst,3.4,10000 , Public,Video Games, 10 B ,-1,57,103 
598,BI/Data Analyst,2.1, 500 , Private,Other Retail Stores,Unknown / Non-Applicable,-1,57,103 
599,"Sr. Data Analyst, Ad Operations",3.8, 500 , Private,Internet,Unknown / Non-Applicable,-1,57,103 
600,Data Analyst Junior,5.0, 200 , Private,IT Services, 100 M ,-1,35,45 
601,"Customer Insights Manager, Senior Data Analyst | Mobile",-1.0, 50 , Private,-1,Unknown / Non-Applicable,-1,35,45 
602,Research Sr. Data Analyst - Kaiser Permanente Bernard J. Tyson School of Medicine,4.0,10000 ,Other,Health Care Services & Hospitals,10 B ,"HCA Healthcare, Dignity Health, Sutter Health",35,45 
603,"Senior Business Technology Analyst - Big Data (Los Angeles area, CA)",3.8, 10000 , Private,Consulting,Unknown / Non-Applicable,-1,35,45 
604,Financial Data Analyst,3.8, 1000 , Private,Aerospace & Defense, 100 M ,-1,35,45 
605,Enterprise Data Quality Analyst - EDM,3.6, 5000 ,Other,Banks & Credit Unions,Unknown / Non-Applicable,"East West Bank, Bank of the West, First Republic Bank",35,45 
606,Survey Data Analyst,4.9, 200 , Private,Staffing & Outsourcing,Unknown / Non-Applicable,-1,35,45 
607,Data Analyst/SQL/Healthcare Or Medical OR Clinical,-1.0,Unknown, Public,-1,Unknown / Non-Applicable,-1,35,45 
608,Data Analyst Manager,-1.0,-1,Other,-1,-1,-1,35,45 
609,Enterprise Data Analyst,3.6, 5000 ,Other,Banks & Credit Unions,Unknown / Non-Applicable,"East West Bank, Bank of the West, First Republic Bank",35,45 
610,MEDIA DATA ANALYST,-1.0,-1,Other,-1,-1,-1,35,45 
611,Data Analyst - Personalization,3.4, 5000 , Private,Internet, 2 B ,-1,35,45 
612,Data Systems Analyst III,-1.0,-1,Other,-1,-1,-1,35,45 
613,Data Analyst / Developer,4.1,10000 , Public,Staffing & Outsourcing, 2 B ,-1,35,45 
614,Senior Data Bi Analyst,3.4, 50 , Private,-1,Less than 1 M ,-1,35,45 
615,"Operations Analyst, Data Governance",3.7,10000 ,Other,TV Broadcast & Cable Networks,10 B ,"Walt Disney Company, NBCUniversal",35,45 
616,"Analyst, Data (Pharmacy & SQL)",3.1,10000 , Public,Insurance Carriers,10 B ,-1,35,45 
617,"Sr. Business Analyst, Data Science and Analytics",3.0, 500 , Private,"Health, Beauty, & Fitness",Unknown / Non-Applicable,-1,35,45 
618,Enterprise Data Quality Analyst - EDM,3.5, 500 , Private,Staffing & Outsourcing, 500 M ,-1,35,45 
619,Microsoft Dynamics CRM Data Analyst,3.7,10000 , Public,IT Services,10 B ,"Amazon, Accenture, Microsoft",35,45 
620,"Marketing Data Analyst, Teleflora",3.6, 10000 , Private,Consumer Products Manufacturing, 5 B ,-1,35,45 
621,Senior Customer Data Analyst : 20,4.6, 200 , Private,Staffing & Outsourcing, 50 M ,"Collabera, Artech Information Systems, TEKsystems",35,45 
622,REMOTE Data Analyst - POWER BI+MONGO+ DAX EXPERIENCE,-1.0,-1,Other,-1,-1,-1,35,45 
623,Senior Data Analyst - User Growth,3.8, 5000 , Private,Internet,Unknown / Non-Applicable,-1,35,45 
624,Automotive Data Analyst,2.7, 1000 , Public,TV Broadcast & Cable Networks,Unknown / Non-Applicable,-1,35,45 
625,Data Analyst - Product,3.4, 5000 , Public,Insurance Carriers, 5 B ,-1,35,45 
626,"Sr. Analyst, Data",3.1,10000 , Public,Insurance Carriers,10 B ,-1,35,45 
627,Senior Data Insights Analyst,-1.0, 50 , Private,-1,Unknown / Non-Applicable,-1,35,45 
628,Bilingual (Chinese) Data Analyst,3.7, 50 , Public,Real Estate,Unknown / Non-Applicable,-1,42,66 
629,Systems and Data Analyst - SQL,-1.0,Unknown, Public,-1,Unknown / Non-Applicable,-1,42,66 
630,Data Entry Analyst,3.6, 5000 , Public,Staffing & Outsourcing, 500 M ,-1,42,66 
631,"Sr Analyst, Data Operations",5.0,Unknown, Private,-1,Unknown / Non-Applicable,-1,42,66 
632,Data Intelligence Analyst II,4.0, 500 , Private,IT Services, 50 M ,"Kforce, NTT DATA, IBM",42,66 
633,Business Analyst / Data Analyst with Financial Industry Experience,3.0, 50 , Private,-1,Unknown / Non-Applicable,-1,42,66 
634,Sr. Data Analyst,3.3, 500 , Private,Computer Hardware & Software, 50 M ,-1,42,66 
635,Investment Reporting Data Analyst,-1.0, 50 , Private,-1,Unknown / Non-Applicable,-1,42,66 
636,Jr. Data Analyst (Jr. DA),4.0, 50 , Private,Health Care Services & Hospitals, 5 M ,-1,42,66 
637,Sr. Business Data Analyst,4.9, 200 , Private,Staffing & Outsourcing, 25 M ,"CyberCoders, Kforce, ASGN Incorporated",42,66 
638,Data Reporting Analyst,3.6, 1000 , Private,Staffing & Outsourcing, 500 M ,-1,42,66 
639,Pricing Data Analyst,3.6, 5000 ,Other,Banks & Credit Unions,Unknown / Non-Applicable,"East West Bank, Bank of the West, First Republic Bank",42,66 
640,Senior Data Engineer & Analyst,5.0, 200 , Private,"Health, Beauty, & Fitness",Less than 1 M ,-1,42,66 
641,Principal Data Management Analyst,3.8,10000 , Public,Aerospace & Defense,10 B ,-1,42,66 
642,Sr. Data Analyst,4.3, 500 , Private,Staffing & Outsourcing, 100 M ,-1,42,66 
643,Sr Data Analyst (DW),4.2, 50 , Private,IT Services, 25 M ,"OpenSymmetry, Perficient, DataClarity",42,66 
644,"Data Analyst, Product",3.9, 1000 , Private,Video Games,Unknown / Non-Applicable,-1,42,66 
645,"Digital Media Data Analyst, Apple TV+",4.1,10000 , Public,Computer Hardware & Software,10 B ,"Google, Microsoft, Samsung Electronics",42,66 
646,Data Intelligence Analyst,3.4, 50 , Private,IT Services, 5 M ,-1,42,66 
647,"Operations Analyst, Data Governance",5.0,Unknown, Private,-1,Unknown / Non-Applicable,-1,42,66 
648,Sr. Data Analyst,3.8, 500 , Private,Beauty & Personal Accessories Stores,Unknown / Non-Applicable,-1,42,66 
649,Data Technician/Analyst/Specialist,3.5, 200 , Private,-1,Unknown / Non-Applicable,-1,42,66 
650,Senior Data Analyst,3.8, 5000 , Private,Internet,Unknown / Non-Applicable,-1,42,66 
651,Research Data Analyst,-1.0,-1,Other,-1,-1,-1,42,66 
652,【1yr OPT+Intern】Data Analyst 保实习保就业,-1.0, 50 , Private,-1,Unknown / Non-Applicable,-1,42,66 
653,Heightened Standards Data Analyst,3.6, 5000 ,Other,Banks & Credit Unions,Unknown / Non-Applicable,"East West Bank, Bank of the West, First Republic Bank",42,66 
654,Corporate: Data Analyst,3.4, 5000 , Public,Automotive Parts & Accessories Stores, 500 M ,"AutoZone, eBay, Advance Auto Parts",42,66 
655,Sr Data Analyst,3.1, 50 , Private,Internet, 25 M ,-1,42,66 
656,Data Analyst I- ON SITE POSITION,1.0, 50 , Public,-1,Unknown / Non-Applicable,-1,42,66 
657,"Analyst, Data",3.1,10000 , Public,Insurance Carriers,10 B ,-1,42,66 
658,Senior Data Analyst,4.7, 200 , Private,Research & Development,Unknown / Non-Applicable,-1,65,81 
659,Credit Data Analyst,-1.0,-1,Other,-1,-1,-1,65,81 
660,Sr Performance Metrics Data Analyst,-1.0,-1,Other,-1,-1,-1,65,81 
661,Sr. Data Analyst,-1.0,-1,Other,-1,-1,-1,65,81 
662,Junior Data Analyst,3.9, 500 , Private,Industrial Manufacturing, 500 M ,-1,65,81 
663,SENIOR DATA BI ANALYST,2.5, 1000 , Public,Health Care Services & Hospitals,Unknown / Non-Applicable,-1,65,81 
664,Data Analyst - MS Access & Excel,3.5, 200 , Private,Consulting, 25 M ,-1,65,81 
665,Data Analyst (Asset Management / eDiscovery),3.8, 200 , Private,Consulting, 10 M ,-1,65,81 
666,Jr. Data Analyst,3.8, 200 , Private,Consulting, 10 M ,-1,65,81 
667,Sr. Data Analyst,4.0,10000 , Public,Consumer Products Manufacturing,10 B ,"Procter & Gamble, Nestlé, Johnson & Johnson",65,81 
668,"Data Analyst - Health, Experienced",4.1, 10000 ,Other,Insurance Carriers,10 B ,-1,65,81 
669,Product/Data Analyst,-1.0,-1,Other,-1,-1,-1,65,81 
670,Junior Data Analyst,3.8,10000 , Public,Chemical Manufacturing, 10 B ,-1,65,81 
671,Reporting Data Analyst,3.0, 5000 , Public,Venture Capital & Private Equity, 2 B ,-1,65,81 
672,Data Intelligence Analyst,3.3, 500 , Public,"Department, Clothing, & Shoe Stores",Unknown / Non-Applicable,-1,65,81 
673,"Data Analyst-Cerritos, CA",5.0, 50 , Private,-1,Less than 1 M ,-1,65,81 
674,Digital Marketing Data Analyst,-1.0,-1,Other,-1,-1,-1,65,81 
675,Sr Performance Metrics Data Analyst,2.6, 500 , Public,-1, 500 M ,-1,65,81 
676,Student Data Compliance Analyst,3.3, 5000 ,Other,K-12 Education, 100 M ,-1,65,81 
677,Data Quality Control Analyst,3.5, 500 , Private,Staffing & Outsourcing, 500 M ,-1,65,81 
678,Senior Data Management Analyst,3.0, 5000 , Public,Venture Capital & Private Equity, 2 B ,-1,65,81 
679,Sr. Data Analyst,2.8,Unknown, Private,-1,Unknown / Non-Applicable,-1,65,81 
680,Data Analyst HEDIS Star,3.2, 1000 ,Other,Insurance Carriers, 5 B ,-1,65,81 
681,Senior Data Analyst,4.7, 200 , Private,Video Games,Unknown / Non-Applicable,-1,65,81 
682,Sr. Data Analyst,3.1,10000 , Public,Insurance Carriers,10 B ,-1,65,81 
683,SAP Master Data Analyst,2.5, 200 , Private,Consumer Products Manufacturing, 25 M ,-1,65,81 
684,Service Operations Data Analyst,3.3, 1000 , Private,Commercial Equipment Repair & Maintenance,Unknown / Non-Applicable,"John Deere, Bobcat Company",65,81 
685,Data Analyst I,-1.0,-1,Other,-1,-1,-1,65,81 
686,Senior Data Management Analyst,-1.0, 50 , Private,-1,Unknown / Non-Applicable,-1,65,81 
687,System and Data Analyst,2.9, 1000 ,Other,Health Care Services & Hospitals, 100 M ,-1,113,132 
688,Service Operations Data Analyst,5.0, 200 , Private,-1,Unknown / Non-Applicable,-1,113,132 
689,SAP Master Data Analyst,-1.0, 50 , Public,-1,Less than 1 M ,-1,113,132 
690,Business Analyst Asset Data Management,4.0, 200 , Private,-1,Unknown / Non-Applicable,-1,113,132 
691,Sr Digital Marketing Data Analyst (PAID SOCIAL),5.0, 50 , Private,Staffing & Outsourcing,Unknown / Non-Applicable,-1,113,132 
692,19-0574 - Service Operations Data Analyst,3.3, 1000 , Private,Commercial Equipment Repair & Maintenance,Unknown / Non-Applicable,"John Deere, Bobcat Company",113,132 
693,Discovery Data Analyst,2.9, 500 , Private,Accounting,Unknown / Non-Applicable,-1,113,132 
694,"Analyst, Financial Master Data",5.0,Unknown, Private,-1,Unknown / Non-Applicable,-1,113,132 
695,Data Analyst-HEDIS & Star,3.2, 1000 ,Other,Insurance Carriers, 5 B ,-1,113,132 
696,Music Copyright Data Analyst,3.3, 5000 , Private,Staffing & Outsourcing, 2 B ,"Kelly, Manpower",113,132 
697,Sr. Data Analyst,3.8, 200 , Private,Consulting, 10 M ,-1,113,132 
698,Sr. Data Analyst,-1.0,-1,Other,-1,-1,-1,113,132 
699,Sr. Data Governance Analyst,4.0, 50 , Private,Accounting,Less than 1 M ,-1,113,132 
700,"Data Analyst - Health, Senior",4.1, 10000 ,Other,Insurance Carriers,10 B ,-1,113,132 
701,Data Analyst-HEDIS & Star,-1.0,-1,Other,-1,-1,-1,113,132 
702,Data Entry Clerk and Analyst - Financial,2.8, 200 , Private,IT Services, 25 M ,-1,113,132 
703,"Analyst, Financial Master Data",3.9, 10000 , Public,Motion Picture Production & Distribution,10 B ,NBCUniversal,113,132 
704,Senior Clinical Data Analyst,3.4,10000 ,Other,Health Care Services & Hospitals, 500 M ,-1,113,132 
705,Sr. Data Analyst (Pharmacy),3.1,10000 , Public,Insurance Carriers,10 B ,-1,113,132 
706,"Sr Analyst, Data",3.1,10000 , Public,Insurance Carriers,10 B ,-1,113,132 
707,Systems and Data Analyst,2.4, 500 ,Other,-1,Unknown / Non-Applicable,-1,113,132 
708,"Analyst, Financial Master Data",3.7,10000 ,Other,TV Broadcast & Cable Networks,10 B ,"Walt Disney Company, NBCUniversal",113,132 
709,Copyright Data Analyst,3.3, 5000 , Private,Staffing & Outsourcing, 2 B ,"Kelly, Manpower",113,132 
710,LIMS Master Data Analyst,4.6, 500 , Private,Consulting,Unknown / Non-Applicable,-1,113,132 
711,Data Analyst *Temp-Hire*,2.9, 50 , Private,Staffing & Outsourcing,Unknown / Non-Applicable,-1,113,132 
712,"QM DATA ANALYST II, WHITTIER, FULL TIME DAYS",3.6, 10000 ,Other,Health Care Services & Hospitals, 2 B ,"Adventist Health, Providence Health & Services",113,132 
713,Radar Telemetry Data Analyst - RT,-1.0,-1,Other,-1,-1,-1,113,132 
714,Sr. Data Analyst — US Safety,3.8, 5000 , Private,Internet,Unknown / Non-Applicable,-1,113,132 
715,Data Analyst - Marketing Analytics,3.4, 5000 , Public,Insurance Carriers, 5 B ,-1,113,132 
716,Radar Telemetry Data Analyst,-1.0,-1,Other,-1,-1,-1,42,63 
717,Radar Telemetry Data Analyst,-1.0,-1,Other,-1,-1,-1,42,63 
718,Senior Healthcare Data Analyst,-1.0,-1,Other,-1,-1,-1,42,63 
719,Radar Telemetry Data Analyst,-1.0,-1,Other,-1,-1,-1,42,63 
720,Data Analyst,3.9, 5000 , Public,Banks & Credit Unions, 1 B ,"J.P. Morgan, Bank of America",60,66 
721,Data Analyst,3.7, 1000 , Private,Sports & Recreation,Unknown / Non-Applicable,-1,60,66 
722,Data Analyst,3.7, 500 , Private,Enterprise Software & Network Solutions, 500 M ,-1,60,66 
723,Data Transformation Analyst,5.0, 1000 , Private,Consulting, 500 M ,"Accenture, West Monroe, Slalom",60,66 
724,Data Analyst,3.2, 1000 , Private,Health Care Services & Hospitals,Unknown / Non-Applicable,"eHealth, Anthem",60,66 
725,Jr. Data Analyst,3.4, 10000 , Public,Staffing & Outsourcing, 10 B ,"Adecco, ManpowerGroup, Allegis Corporation",60,66 
726,Urgent Need - Data Analyst,3.4, 10000 , Public,Staffing & Outsourcing, 10 B ,"Adecco, ManpowerGroup, Allegis Corporation",60,66 
727,Data Analyst,3.8, 500 ,Other,Advertising & Marketing,Unknown / Non-Applicable,"DoubleClick, Specific Media, Collective",60,66 
728,Business Systems & Data Analyst,2.8, 500 , Private,Food & Beverage Manufacturing,Unknown / Non-Applicable,"Anheuser-Busch InBev, The Boston Beer Company",60,66 
729,Healthcare Data Analyst - Remote,3.3, 10000 , Public,Computer Hardware & Software, 2 B ,"Cerner, Epic, Athena Health Care Systems",60,66 
730,Junior Data Analyst,3.7, 500 , Private,Transportation Management, 500 M ,"Redwood Logistics, Coyote Logistics, Echo Global Logistics",60,66 
731,Data Analyst,4.0,10000 ,Other,Colleges & Universities, 5 B ,-1,60,66 
732,Product Data Analyst,3.9, 200 , Private,Staffing & Outsourcing, 500 M ,"Robert Half, Insight Global",60,66 
733,Entry Level / Jr. Data Analyst,-1.0, 50 , Private,-1,Unknown / Non-Applicable,-1,60,66 
734,Data Analyst (Junior),4.6, 500 , Private,Staffing & Outsourcing, 100 M ,-1,60,66 
735,Data Analyst,4.6, 500 , Private,Staffing & Outsourcing, 100 M ,-1,60,66 
736,Associate Marketing Data Analyst,4.1,10000 , Private,Miscellaneous Manufacturing,10 B ,"Continental, FCA Fiat Chrysler Automobiles",60,66 
737,Outsights Data Analyst,3.3, 200 , Private,Financial Transaction Processing, 2 B ,-1,60,66 
738,Business Data Analyst,3.3, 200 ,Other,Social Assistance, 5 B ,-1,60,66 
739,Data Analyst,4.7, 200 , Private,Staffing & Outsourcing, 25 M ,-1,60,66 
740,Data Analyst,4.3, 500 ,Other,Computer Hardware & Software, 50 M ,-1,60,66 
741,Data Analyst,3.2,10000 ,Other,Banks & Credit Unions, 5 B ,"J.P. Morgan, Bank of America, U.S. Bank",60,66 
742,Data Analyst - Excel,3.3, 5000 , Private,Staffing & Outsourcing, 2 B ,"Kelly, Manpower",60,66 
743,Associate Marketing Data Analyst,3.1, 5000 ,Other,Consumer Products Manufacturing, 1 B ,"Stanley Black & Decker, Milwaukee Tool",60,66 
744,Data Analyst,3.5,10000 ,Other,K-12 Education,Unknown / Non-Applicable,-1,60,66 
745,Data Integrity Analyst,3.3,10000 ,Other,Municipal Governments,Unknown / Non-Applicable,-1,60,66 
746,Data Integrity Analyst,3.8, 5000 ,Other,Investment Banking & Asset Management,Unknown / Non-Applicable,"BlackRock, Nuveen, Piper Sandler",60,66 
747,Data Analyst - IntelliScript,3.8, 5000 , Private,Consulting, 2 B ,-1,60,66 
748,Data Analyst,3.7,10000 , Public,Banks & Credit Unions,10 B ,"CIBC, RBC, TD",60,66 
749,Reporting and Data Analyst - (North American Collections Analytics for Data and Analytics),3.2,10000 ,Other,Banks & Credit Unions, 5 B ,"J.P. Morgan, Bank of America, U.S. Bank",60,66 
750,Data Analyst,4.2,10000 , Private,IT Services, 2 B ,"Cognizant Technology Solutions, Infosys, Wipro",73,82 
751,Lead Data Analyst,4.6, 50 , Private,Health Care Services & Hospitals,Unknown / Non-Applicable,-1,73,82 
752,Manufacturing Data Analyst,3.2,10000 , Public,Miscellaneous Manufacturing,10 B ,"International Paper, Graphic Packaging International, Smurfit Kappa",73,82 
753,Data Analyst,3.5, 50 , Private,Computer Hardware & Software,Unknown / Non-Applicable,-1,73,82 
754,Data Analyst,3.7, 5000 ,Other,Health Care Services & Hospitals, 1 B ,-1,73,82 
755,Data Analyst,3.9, 5000 ,Other,Staffing & Outsourcing, 5 B ,"Capgemini, Slalom, Accenture",73,82 
756,Data Analyst Intern,-1.0, 50 , Private,-1,Unknown / Non-Applicable,-1,73,82 
757,Senior Data Analyst,3.4, 10000 , Public,Consumer Products Manufacturing, 5 B ,-1,73,82 
758,Data Analyst,4.1, 50 , Public,Staffing & Outsourcing, 10 M ,-1,73,82 
759,Junior Data Analyst,5.0, 200 , Private,IT Services, 100 M ,-1,73,82 
760,Senior Data Analyst,3.5, 5000 , Private,Logistics & Supply Chain, 1 B ,-1,73,82 
761,Data Analyst,3.7, 5000 ,Other,Staffing & Outsourcing,Unknown / Non-Applicable,-1,73,82 
762,Public Health Data Visualization Analyst,4.0, 50 , Private,Consulting,Unknown / Non-Applicable,-1,73,82 
763,Data Operations Analyst,3.5, 200 ,Other,-1,Less than 1 M ,-1,73,82 
764,Data Analyst,3.6, 200 , Private,Video Games,Unknown / Non-Applicable,-1,73,82 
765,Data Quality Analyst,3.0, 500 ,Other,Municipal Governments,Unknown / Non-Applicable,-1,73,82 
766,Marketing Data Analyst,-1.0,-1,Other,-1,-1,-1,73,82 
767,Senior Data Analyst,-1.0,Unknown, Private,-1,Unknown / Non-Applicable,-1,73,82 
768,Data Analyst,3.9, 1000 , Private,IT Services, 500 M ,-1,73,82 
769,Data Analyst,5.0, 200 , Private,IT Services, 100 M ,-1,73,82 
770,Provider Analytics Data Analyst,4.7, 200 , Private,Staffing & Outsourcing, 25 M ,-1,73,82 
771,CSI Data Analyst,3.5,10000 ,Other,K-12 Education,Unknown / Non-Applicable,-1,73,82 
772,Outsights Data Analyst,3.2, 1000 , Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,73,82 
773,Data Analyst,-1.0, 50 , Private,-1,Unknown / Non-Applicable,-1,73,82 
774,Provider Analytics Data Analyst,4.6, 200 , Private,IT Services, 50 M ,-1,73,82 
775,Senior Data Analyst,4.2, 50 , Private,Enterprise Software & Network Solutions, 5 M ,-1,73,82 
776,Data Governance Analyst,3.9, 5000 ,Other,Staffing & Outsourcing, 5 B ,"Capgemini, Slalom, Accenture",73,82 
777,Senior Data Analyst,3.9, 200 ,Other,Social Assistance,Unknown / Non-Applicable,-1,73,82 
778,"Senior Data Analyst, Business Intelligence",4.8, 200 , Private,Lending, 100 M ,"Avant, Enova, OppLoans",73,82 
779,Data Analyst,-1.0, 200 , Private,Construction,Unknown / Non-Applicable,-1,67,92 
780,Data Analyst,4.0, 50 , Private,Accounting,Less than 1 M ,-1,67,92 
781,Data Analyst - Rush Infectious Diseases,3.9, 10000 ,Other,Health Care Services & Hospitals, 2 B ,-1,67,92 
782,Data Analyst,2.7, 5000 , Private,Staffing & Outsourcing, 500 M ,-1,67,92 
783,Fair Lending Data Analyst,3.4, 1000 ,Other,Banks & Credit Unions, 500 M ,-1,67,92 
784,Data Analyst,4.5, 500 , Private,Staffing & Outsourcing,Unknown / Non-Applicable,"Beacon Hill Staffing Group, PageGroup, Solomon Page",67,92 
785,Senior Research Data Analyst,4.0,10000 ,Other,Colleges & Universities, 5 B ,-1,67,92 
786,Data Analyst,3.7, 50 ,Other,-1, 5 M ,-1,67,92 
787,Data Analyst,4.0, 500 ,Other,Legal,Unknown / Non-Applicable,-1,67,92 
788,Data Management Analyst,3.2,10000 , Public,Banks & Credit Unions,Unknown / Non-Applicable,-1,67,92 
789,Data Operations Analyst,3.2, 1000 , Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,"Blue Yonder, SAP, NCR",67,92 
790,Data Analyst,-1.0, 50 , Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,-1,67,92 
791,"Data Analyst, Operations Engineering",3.8, 1000 , Private,Energy, 100 M ,-1,67,92 
792,"Data Analyst, Tax (Affordable Care Act) (ACA) (Manager) (Multiple Positions)",3.8,10000 , Private,Accounting,10 B ,"Deloitte, KPMG, PwC",67,92 
793,Business Analyst / Data Analyst,3.9, 50 ,Other,Construction,Less than 1 M ,-1,67,92 
794,Master Data Analyst,3.5, 10000 , Private,Food & Beverage Manufacturing,Unknown / Non-Applicable,-1,67,92 
795,BI Data Analyst,3.0, 500 , Private,Staffing & Outsourcing,Unknown / Non-Applicable,-1,67,92 
796,Data Quality Analyst,3.0, 5000 , Private,Logistics & Supply Chain, 2 B ,-1,67,92 
797,Senior Data Analyst,3.9, 5000 , Private,IT Services, 500 M ,"Nielsen, Kantar, IRI",67,92 
798,Sr. Data Analyst,3.9, 200 , Private,Staffing & Outsourcing, 500 M ,"Robert Half, Insight Global",67,92 
799,Tableau Developer/Data Analyst,3.7, 5000 , Private,Other Retail Stores, 1 B ,-1,67,92 
800,Data Analyst,-1.0,-1,Other,-1,-1,-1,67,92 
801,Data Analyst,4.3, 1000 , Private,IT Services, 500 M ,-1,67,92 
802,Data Analyst – Level II,1.0, 50 , Private,IT Services,Less than 1 M ,-1,67,92 
803,Reporting and Data Analyst - (North American Collections Analytics for Data and Analytics),3.7,10000 , Public,Banks & Credit Unions,10 B ,"CIBC, RBC, TD",67,92 
804,Senior Data Analyst,3.6, 10000 , Private,Legal, 2 B ,-1,67,92 
805,Data Analyst,4.0, 5000 ,Other,-1,Unknown / Non-Applicable,-1,67,92 
806,Senior Trading Systems Data Analyst (Chicago or NY),2.9, 5000 , Private,Venture Capital & Private Equity, 500 M ,"Wolverine Trading, Interactive Brokers, Citadel",67,92 
807,Data Analyst/Programmer,2.5, 200 , Private,Advertising & Marketing, 50 M ,-1,67,92 
